id,czech,part_of_speech,gender_aspect,genitive,level,category,russian,ukrainian,english,note,image_query,image_url,example_1_cs,example_1_ru,example_1_uk,example_2_cs,example_2_ru,example_2_uk
1,konec,сущ.,м.р.,konce,A1,Абстрактные понятия,конец,кінець,end,,,,Film je u konce.,Фильм подошёл к концу.,Фільм добіг кінця.,Na konci ulice je park.,В конце улицы парк.,У кінці вулиці парк.
2,místo,сущ.,ср.р.,místa,A1,Абстрактные понятия,место,місце,place,,,,Tady je volné místo.,Здесь свободное место.,Тут вільне місце.,Praha je krásné místo.,Прага — красивое место.,Прага — гарне місце.
3,problém,сущ.,м.р.,problému,A1,Абстрактные понятия,проблема,проблема,problem,,,,Mám velký problém.,У меня большая проблема.,У мене велика проблема.,To není žádný problém.,Это не проблема.,Це не проблема.
4,strana,сущ.,ж.р.,strany,A1,Абстрактные понятия,сторона; страница,сторона; сторінка,side; page,,"page,book","https://loremflickr.com/640/480/page,book",Na druhé straně ulice je banka.,На другой стороне улицы банк.,З іншого боку вулиці банк.,Přečti si první stranu.,Прочитай первую страницу.,Прочитай першу сторінку.
5,svět,сущ.,м.р.,světa,A1,Абстрактные понятия,мир (свет),світ,world,,"world,globe","https://loremflickr.com/640/480/world,globe",Cestuje po celém světě.,Он путешествует по всему миру.,Він подорожує по всьому світу.,Je to nejlepší kniha na světě.,Это лучшая книга в мире.,Це найкраща книга у світі.
6,věc,сущ.,ж.р.,věci,A1,Абстрактные понятия,вещь; дело,річ; справа,thing; matter,,,,Tohle je moje věc.,Это моя вещь.,Це моя річ.,Musím zařídit jednu věc.,Мне нужно уладить одно дело.,Мені треба залагодити одну справу.
7,začátek,сущ.,м.р.,začátku,A1,Абстрактные понятия,начало,початок,beginning,,,,Na začátku to bylo těžké.,В начале это было трудно.,Спочатку це було важко.,Začátek filmu jsem neviděl.,Начало фильма я не видел.,Початок фільму я не бачив.
8,život,сущ.,м.р.,života,A1,Абстрактные понятия,жизнь,життя,life,,,,Můj život se změnil.,Моя жизнь изменилась.,Моє життя змінилося.,Je to nejlepší den mého života.,Это лучший день моей жизни.,Це найкращий день мого життя.
9,brát,гл.,несов.,,A1,Базовые глаголы,брать,брати,to take,,,,"Beru si kabát, je zima.","Я беру пальто, холодно.","Я беру пальто, холодно.",Bereš si cukr do kávy?,Ты берёшь сахар в кофе?,Ти береш цукор до кави?
10,být,гл.,несов.,,A1,Базовые глаголы,быть,бути,to be,,,,Jsem doma.,Я дома.,Я вдома.,Byl jsem včera v práci.,Вчера я был на работе.,Учора я був на роботі.
11,chtít,гл.,несов.,,A1,Базовые глаголы,хотеть,хотіти,to want,,,,Chci mluvit česky.,Я хочу говорить по-чешски.,Я хочу говорити чеською.,Co chceš k obědu?,Что ты хочешь на обед?,Що ти хочеш на обід?
